2025-09-08 15:41:15.542 | INFO     | __main__:init_app_state:25 - 应用配置加载完成
2025-09-08 16:11:12.777 | INFO     | app.core.model_manager:_setup_environment:72 - 设置INSIGHTFACE_HOME: D:\ABT\0-Project\face_rec\data\.insightface
2025-09-08 16:11:14.071 | INFO     | app.main:lifespan:35 - 应用程序启动... 开始执行启动任务。
2025-09-08 16:11:14.071 | INFO     | app.main:lifespan:36 - 应用启动，开始初始化数据库...
2025-09-08 16:11:14.079 | INFO     | app.main:lifespan:38 - 数据库初始化完成。
2025-09-08 16:11:14.080 | INFO     | app.core.model_manager:load_models:84 - 开始加载3个模型实例到池中
2025-09-08 16:11:14.080 | INFO     | app.core.model_manager:create_face_analysis_model:18 - 创建InsightFace模型: buffalo_l
2025-09-08 16:11:16.383 | INFO     | app.core.model_manager:create_face_analysis_model:37 - 模型下载成功: buffalo_l
2025-09-08 16:11:16.383 | INFO     | app.core.model_manager:load_models:89 - 第一个模型加载成功，继续加载剩余模型
2025-09-08 16:11:16.385 | INFO     | app.core.model_manager:create_face_analysis_model:18 - 创建InsightFace模型: buffalo_l
2025-09-08 16:11:16.387 | INFO     | app.core.model_manager:create_face_analysis_model:18 - 创建InsightFace模型: buffalo_l
2025-09-08 16:11:18.793 | INFO     | app.core.model_manager:create_face_analysis_model:37 - 模型下载成功: buffalo_l
2025-09-08 16:11:18.795 | INFO     | app.core.model_manager:create_face_analysis_model:37 - 模型下载成功: buffalo_l
2025-09-08 16:11:18.796 | INFO     | app.core.model_manager:load_models:105 - 成功加载3个模型到池中
2025-09-08 16:11:18.796 | INFO     | app.core.model_manager:_startup_test:122 - 开始启动自检
2025-09-08 16:11:23.633 | INFO     | app.core.model_manager:_startup_test:133 - 自检成功：检测到1张人脸
2025-09-08 16:11:23.633 | INFO     | app.main:lifespan:42 - ✅ 模型池加载完成。
2025-09-08 16:11:23.768 | INFO     | app.cfg.mqtt_manager:_worker_loop:93 - MQTT工作线程已启动
2025-09-08 16:11:23.769 | INFO     | app.cfg.mqtt_manager:start:63 - ✅ MQTT管理器已启动
2025-09-08 16:11:23.770 | INFO     | app.main:lifespan:48 - ✅ MQTT管理器已启动。
2025-09-08 16:11:23.771 | INFO     | app.core.result_processor:__init__:51 - 结果持久化处理器初始化完成，保存间隔：0.6秒，帧间隔：每10帧
2025-09-08 16:11:23.772 | INFO     | app.core.result_processor:_worker_loop:88 - 结果持久化处理器工作线程已启动
2025-09-08 16:11:23.773 | INFO     | app.core.result_processor:start:66 - ✅ 结果持久化处理器已启动
2025-09-08 16:11:23.774 | INFO     | app.main:lifespan:55 - ✅ 结果持久化服务已启动。
2025-09-08 16:11:23.774 | INFO     | app.service.face_service:__init__:31 - 正在初始化 FaceService (多线程 + 模型池)...
2025-09-08 16:11:23.811 | INFO     | app.service.face_dao:_initialize_table:62 - 成功连接到已存在的 LanceDB 表: 'faces_v2'
2025-09-08 16:11:23.859 | INFO     | app.service.face_service:initialize:46 - FaceService 正在初始化...
2025-09-08 16:11:23.859 | INFO     | app.service.face_service:initialize:47 - ✅ FaceService 初始化完毕。
2025-09-08 16:11:23.860 | INFO     | app.main:lifespan:63 - ✅ FaceService 初始化完成。
2025-09-08 16:11:23.860 | INFO     | app.main:lifespan:68 - ✅ 启动了周期性清理过期视频流的后台任务。
2025-09-08 16:11:23.861 | INFO     | app.main:lifespan:70 - 🎉 所有启动任务完成，应用程序准备就绪。
2025-09-08 16:11:23.864 | INFO     | app.main:lifespan:73 - 应用程序正在关闭... 开始执行清理任务。
2025-09-08 16:11:23.864 | INFO     | app.main:lifespan:82 - ✅ 视频流清理任务已取消。
2025-09-08 16:11:23.865 | INFO     | app.cfg.mqtt_manager:_worker_loop:115 - MQTT工作线程已停止
2025-09-08 16:11:24.664 | INFO     | app.cfg.mqtt_manager:stop:89 - ✅ MQTT管理器已停止
2025-09-08 16:11:24.664 | INFO     | app.core.result_processor:_worker_loop:118 - 结果持久化处理器工作线程已停止
2025-09-08 16:11:24.665 | INFO     | app.core.result_processor:stop:84 - ✅ 结果持久化处理器已停止
2025-09-08 16:11:24.666 | INFO     | app.core.model_manager:cleanup:188 - 清理模型池资源
2025-09-08 16:11:24.834 | INFO     | app.core.model_manager:cleanup:194 - 模型池已清空
2025-09-08 16:11:24.834 | INFO     | app.main:lifespan:99 - ✅ 所有清理任务完成。
